video_id,image_id,frame_gap,student_map,student_map50,oracle_map,oracle_map50,map_gap,map50_gap,cosine_s5_prev,l1_s5_prev,max_abs_diff_s5_prev,cosine_s5_anchor,l1_s5_anchor,max_abs_diff_s5_anchor,oracle_mean_score,student_mean_score
MOT17-02-FRCNN,2,1,0.5405188330116523,0.8434520342790581,0.565159277130779,0.7984750398116734,0.024640444119126692,-0.04497699446738468,nan,nan,nan,0.9834102392196655,0.07361195236444473,0.26177793741226196,0.1947358399629593,0.3099435865879059
MOT17-02-FRCNN,4,1,0.5050491817350541,0.7764776477647765,0.5866419106150098,0.8373862111485874,0.08159272887995572,0.0609085633838109,0.9748870134353638,0.09327936172485352,0.2704285979270935,0.98488450050354,0.07587384432554245,0.19506824016571045,0.19581246376037598,0.31114354729652405
MOT17-02-FRCNN,6,1,0.5037259735409738,0.8619861986198618,0.5323873487793357,0.8656464204112719,0.028661375238361875,0.003660221791410123,0.9720252156257629,0.09957095235586166,0.3976117670536041,0.9840533137321472,0.07700476795434952,0.2515609860420227,0.20232713222503662,0.3094826936721802
MOT17-02-FRCNN,8,1,0.5376517485728034,0.8713520008804029,0.5613810207416327,0.8561331133113311,0.023729272168829252,-0.015218887569071748,0.9783198833465576,0.0883617177605629,0.2853398323059082,0.9885467290878296,0.06687985360622406,0.15139326453208923,0.2017705887556076,0.32461145520210266
MOT17-02-FRCNN,10,1,0.545246331278938,0.897805280528053,0.5462340921046088,0.8789889606721291,0.0009877608256708692,-0.018816319855923913,0.973237156867981,0.10343283414840698,0.24102863669395447,0.9818463921546936,0.08617483824491501,0.1956891417503357,0.1922997087240219,0.32065993547439575
MOT17-02-FRCNN,12,1,0.484879885683788,0.8439493651181329,0.5222096411143113,0.8128316545398102,0.03732975543052336,-0.031117710578322688,0.9735797643661499,0.09620584547519684,0.2752589285373688,0.9836879968643188,0.07604417204856873,0.200015589594841,0.1820053607225418,0.30032187700271606
MOT17-02-FRCNN,14,1,0.48248698811699886,0.8138090480012353,0.5540611514368664,0.832154161204407,0.07157416331986755,0.01834511320317167,0.963436484336853,0.1131211519241333,0.33903640508651733,0.9779787063598633,0.09005794674158096,0.2345396876335144,0.17580384016036987,0.3104341924190521
MOT17-02-FRCNN,16,1,0.494486198108069,0.8135169554107113,0.5330200586518056,0.8368349456133525,0.03853386054373659,0.023317990202641137,0.968429446220398,0.09967126697301865,0.35835498571395874,0.9824578762054443,0.07783471047878265,0.2434423863887787,0.19260752201080322,0.3122636377811432
MOT17-02-FRCNN,18,1,0.5164108028727282,0.8574964639321075,0.5567748775277097,0.8720313006620314,0.040364074654981486,0.014534836729923839,0.9793512225151062,0.08318078517913818,0.26546013355255127,0.9893359541893005,0.0575382374227047,0.21618345379829407,0.1990346759557724,0.3201565444469452
MOT17-02-FRCNN,20,1,0.46418440911466474,0.7992102781706741,0.5165384726614766,0.7950406746360256,0.052354063546811824,-0.004169603534648569,0.9783844947814941,0.084518201649189,0.28468674421310425,0.9879716634750366,0.06408309936523438,0.19775983691215515,0.21080398559570312,0.3213624954223633
MOT17-02-FRCNN,22,1,0.4742006132489061,0.8640892291344293,0.5430314522963698,0.8110191164117099,0.06883083904746373,-0.05307011272271944,0.9756779670715332,0.09308343380689621,0.25815069675445557,0.9841728210449219,0.07755196839570999,0.1938406378030777,0.20885919034481049,0.33461007475852966
