video_id,image_id,frame_gap,student_map,student_map50,oracle_map,oracle_map50,map_gap,map50_gap,cosine_s5_prev,l1_s5_prev,max_abs_diff_s5_prev,smoothed_max_diff_s5_prev,topk_mean_diff_s5_prev,cosine_s5_anchor,l1_s5_anchor,max_abs_diff_s5_anchor,smoothed_max_diff_s5_anchor,topk_mean_diff_s5_anchor,oracle_mean_score,student_mean_score,oracle_num_dets,student_num_dets
MOT17-02-FRCNN,2,1,0.5227853904292998,0.8236264802950883,0.565159277130779,0.7984750398116734,0.042373886701479124,-0.02515144048341489,nan,nan,nan,nan,nan,0.9834102392196655,0.07361195236444473,0.26177793741226196,0.21466504037380219,0.21577464044094086,0.1947358399629593,0.28441745042800903,300,300
MOT17-02-FRCNN,4,1,0.5069104172720486,0.7722772277227723,0.5866419106150098,0.8373862111485874,0.07973149334296126,0.06510898342581506,0.9748870134353638,0.09327936172485352,0.2704285979270935,0.22924065589904785,0.23983879387378693,0.98488450050354,0.07587384432554245,0.19506824016571045,0.1799800992012024,0.17791806161403656,0.19581246376037598,0.2876235246658325,300,300
MOT17-02-FRCNN,6,1,0.5005908355827062,0.8587715914448588,0.5323873487793357,0.8656464204112719,0.03179651319662946,0.006874828966413116,0.9720252156257629,0.09957095235586166,0.3976117670536041,0.2434571534395218,0.2772621214389801,0.9840533137321472,0.07700476795434952,0.2515609860420227,0.16455143690109253,0.18747495114803314,0.20232713222503662,0.2860470414161682,300,300
MOT17-02-FRCNN,8,1,0.5341744730734181,0.8777774098480081,0.5613810207416327,0.8561331133113311,0.02720654766821451,-0.021644296536676988,0.9783198833465576,0.0883617177605629,0.2853398323059082,0.1827489584684372,0.20495299994945526,0.9885467290878296,0.06687985360622406,0.15139326453208923,0.12314575165510178,0.13035403192043304,0.2017705887556076,0.2993251085281372,300,300
MOT17-02-FRCNN,10,1,0.5399563795506979,0.8930158309948646,0.5462340921046088,0.8789889606721291,0.0062777125539109635,-0.01402687032273553,0.973237156867981,0.10343283414840698,0.24102863669395447,0.19088976085186005,0.20573940873146057,0.9818463921546936,0.08617483824491501,0.1956891417503357,0.1630234271287918,0.17251364886760712,0.1922997087240219,0.295942097902298,300,300
MOT17-02-FRCNN,12,1,0.4902622723925183,0.8437386815604637,0.5222096411143113,0.8128316545398102,0.031947368721793046,-0.03090702702065351,0.9735797643661499,0.09620584547519684,0.2752589285373688,0.20974908769130707,0.23344047367572784,0.9836879968643188,0.07604417204856873,0.200015589594841,0.1686045527458191,0.18185336887836456,0.1820053607225418,0.27489137649536133,300,300
MOT17-02-FRCNN,14,1,0.48188121987359916,0.8106182633455249,0.5540611514368664,0.832154161204407,0.07217993156326724,0.021535897858882103,0.963436484336853,0.1131211519241333,0.33903640508651733,0.281185507774353,0.3047548234462738,0.9779787063598633,0.09005794674158096,0.2345396876335144,0.1935315728187561,0.21341152489185333,0.17580384016036987,0.28491470217704773,300,300
MOT17-02-FRCNN,16,1,0.4839383977485594,0.813382610795544,0.5330200586518056,0.8368349456133525,0.04908166090324617,0.023452334817808507,0.968429446220398,0.09967126697301865,0.35835498571395874,0.30512377619743347,0.3136114180088043,0.9824578762054443,0.07783471047878265,0.2434423863887787,0.2025308758020401,0.20591609179973602,0.19260752201080322,0.2871693968772888,300,300
MOT17-02-FRCNN,18,1,0.49425237694518565,0.8584323089273583,0.5567748775277097,0.8720313006620314,0.06252250058252407,0.01359899173467305,0.9793512225151062,0.08318078517913818,0.26546013355255127,0.23242518305778503,0.23324279487133026,0.9893359541893005,0.0575382374227047,0.21618345379829407,0.18388117849826813,0.1808936446905136,0.1990346759557724,0.29318767786026,300,300
MOT17-02-FRCNN,20,1,0.4725724406964636,0.7935401622869055,0.5165384726614766,0.7950406746360256,0.043966031965012975,0.0015005123491200756,0.9783844947814941,0.084518201649189,0.28468674421310425,0.24482335150241852,0.24564139544963837,0.9879716634750366,0.06408309936523438,0.19775983691215515,0.14981643855571747,0.1519274115562439,0.21080398559570312,0.29349029064178467,300,300
MOT17-02-FRCNN,22,1,0.47204993617476804,0.8713771750929247,0.5430314522963698,0.8110191164117099,0.0709815161216018,-0.0603580586812148,0.9756779670715332,0.09308343380689621,0.25815069675445557,0.21359282732009888,0.2288355678319931,0.9841728210449219,0.07755196839570999,0.1938406378030777,0.16761071979999542,0.16917960345745087,0.20885919034481049,0.30639609694480896,300,300
